x,y,category
-0.012404,-0.0106,HI
-0.014349,-0.016924,HI
0.08321,0.001251,EN
0.060326,-0.002822,EN
0.081915,0.008515,EN
0.096407,0.009798,EN
0.083278,0.006167,EN
-0.002092,-0.025053,MA
-0.03136,-0.003403,CO
-0.000063,-0.014539,DI
0.005953,-0.014936,DI
0.008646,-0.004685,DI
0.088876,0.016472,EN
0.010983,-0.013649,TR
-0.019539,-0.010889,TC
-0.047301,0.006029,CO
-0.039411,-0.008704,TR
-0.023906,0.008064,CO
0.022725,0.004687,CO
-0.045478,0.039384,CO
-0.008854,0.014984,CO
-0.039209,-0.015037,CO
0.049082,-0.013401,EN
-0.015514,-0.0328,IN
-0.045156,-0.012881,IN
-0.030486,-0.008126,IN
-0.033543,-0.01468,IN
-0.035373,-0.025219,IN
0.014274,-0.016682,HI
0.031906,-0.014073,HI
0.010728,-0.017252,TR
0.06702,0.001806,MA
0.095256,0.016249,MA
0.016375,-0.009988,TC
0.082248,-0.008078,MA
0.085957,0.002297,MA
0.034261,-0.016005,MA
0.096405,0.013047,MA
0.054835,0.019506,MA
0.047368,-0.008081,MA
-0.035532,0.021274,CO
-0.0184,0.016439,CO
-0.001547,0.012928,CO
-0.009354,0.002183,CO
0.026594,-0.014246,TR
-0.017928,0.010255,CO
-0.01953,0.019644,CO
-0.010038,0.022835,CO
0.012983,-0.009546,TR
0.033594,0.00894,EN
0.099933,0.00677,EN
0.06984,-0.016787,MA
0.104351,0.008138,ND
0.041334,0.00729,EN
-0.041187,-0.000969,CO
0.093284,-0.00304,MA
0.01599,0.013383,CO
-0.035493,-0.012767,IN
-0.004369,0.006047,TR
0.003302,-0.014968,ND
-0.02812,0.009518,CO
-0.026401,-0.009312,CO
-0.009201,-0.030151,CO
0.022254,-0.00667,CO
-0.023349,-0.012792,HI
-0.002061,-0.034832,TR
0.038382,0.007231,MA
-0.026983,-0.019018,TR
0.029553,-0.008086,HI
0.098421,0.004903,MA
-0.046561,0.000255,TR
0.021521,-0.026145,TR
0.006343,-0.003761,IN
-0.054819,0.000441,TC
-0.021046,-0.001157,CO
0.014203,-0.004137,HI
-0.04297,-0.011907,TR
-0.037547,0.001717,CO
-0.030265,-0.002629,TC
-0.048244,0.019653,CO
-0.005131,-0.004502,TR
0.113273,0.022229,MA
-0.024417,-0.001768,CO
-0.030026,-0.014034,CO
-0.004995,0.002203,CO
-0.011143,-0.013925,CO
-0.015109,-0.002598,CO
0.001092,-0.028578,TC
0.010615,-0.004942,CO
-0.019004,0.001016,CO
-0.011231,-0.001099,CO
-0.019539,-0.030972,CO
-0.015543,-0.01396,CO
-0.00893,-0.009755,CO
-0.019876,-0.003582,TR
-0.012585,-0.01524,TR
0.009206,-0.024741,TR
0.044782,-0.026354,TR
0.0481,-0.021137,TR
-0.010307,-0.013332,TR
-0.003684,-0.022488,HI
0.000945,-0.034228,TR
-0.024886,0.009224,CO
-0.020425,0.015959,CO
-0.022723,-0.021577,IN
-0.007522,-0.001949,TC
-0.005936,-0.011371,TR
-0.028787,0.010814,CO
-0.013148,-0.008143,TR
-0.004509,0.007207,TC
-0.002459,0.000093,CO
-0.014888,0.006478,CO
0.001192,-0.030073,TR
0.012617,-0.012143,TR
0.098497,0.033391,MA
-0.010457,0.004117,CO
-0.013734,-0.007995,TR
-0.004561,0.007585,TC
-0.019165,0.002398,TC
-0.015062,0.014405,CO
-0.034447,0.004836,CO
-0.014353,0.007878,TC
-0.01361,0.001374,CO
0.001486,-0.011739,TR
-0.014612,-0.002538,TR
-0.009372,-0.003747,TR
-0.020237,0.006322,TR
-0.042534,-0.007399,CO
0.023698,-0.019298,TR
0.012071,-0.017943,TR
0.011476,-0.018207,TR
-0.024511,0.017427,CO
-0.044399,-0.003304,IN
-0.024164,-0.019666,IN
-0.023563,0.009542,CO
-0.029989,0.014335,CO
0.137277,0.003964,EN
0.001543,0.004399,CO
0.010498,0.01446,TC
0.03976,0.003284,EN
-0.005091,-0.003905,MA
-0.032294,0.014984,CO
-0.039111,0.016495,CO
-0.029821,0.010609,CO
0.099374,0.013396,EN
-0.039292,0.019453,CO
0.144803,0.020828,EN
0.07737,0.014603,EN
0.092173,0.009523,EN
0.108294,0.007941,EN
0.099084,-0.007562,EN
0.05723,-0.017917,EN
-0.030448,0.015665,CO
0.014695,0.004055,MA
-0.035381,0.015843,CO
0.057454,-0.018879,MA
-0.034803,-0.006285,CO
-0.011616,0.003704,CO
-0.033852,-0.008697,CO
0.066137,-0.019318,EN
-0.018586,-0.008325,HI
0.088622,-0.001704,EN
0.073516,-0.008942,EN
0.084269,-0.018943,EN
0.080223,-0.020684,EN
-0.021735,0.00989,CO
-0.020718,0.016305,CO
0.017349,-0.002383,TR
0.016988,-0.012426,MA
0.037248,-0.014187,MA
0.049021,0.007453,MA
-0.022401,0.014129,CO
-0.021133,0.00168,TR
0.011205,-0.002236,CO
0.02888,-0.036392,EN
0.021027,-0.019498,TR
-0.013495,-0.005241,HI
0.049767,-0.021456,TR
-0.010698,-0.000946,HI
-0.028034,-0.004214,TC
-0.027124,-0.001873,CO
0.031764,-0.023394,TC
0.06897,-0.032457,HI
0.075606,-0.026305,EN
0.085397,-0.033627,EN
0.003869,-0.020427,HI
0.061987,-0.039302,TR
-0.009054,0.002962,CO
0.001664,-0.047816,CO
-0.017236,-0.020896,IN
-0.04847,-0.004589,CO
-0.032508,-0.019494,TR
-0.012471,-0.033323,TR
0.00232,0.012836,ND
0.008817,0.028547,ND
-0.002599,0.000615,CO
0.006853,0.017037,CO
-0.021653,-0.003864,TC
-0.012048,-0.02463,CO
0.005852,-0.009006,IN
0.016106,-0.032029,IN
-0.010971,0.006863,TR
-0.003509,-0.019428,HI
-0.003622,0.001664,TR
-0.007218,-0.010924,HI
-0.012644,0.018244,CO
-0.01585,-0.001269,CO
-0.040517,0.006808,CO
-0.032834,0.001503,TR
-0.033902,-0.012315,TC
0.034244,-0.016094,TR
-0.033163,0.012235,CO
-0.027257,-0.005008,HI
0.069752,-0.003721,MA
0.002629,-0.006143,CO
0.060514,-0.032972,TR
0.05402,-0.029938,TR
-0.001397,-0.038088,TR
0.060647,-0.031503,TR
0.029869,-0.032296,TR
0.060672,-0.025157,TR
0.038935,-0.036269,TR
0.067784,-0.022425,TR
0.035728,-0.041612,TR
0.043648,-0.029632,TR
-0.014693,-0.008511,CO
-0.038287,-0.008553,CO
-0.036907,0.015707,CO
-0.018373,0.007967,CO
-0.027019,-0.004954,CO
-0.026651,0.007963,CO
0.001327,0.010895,CO
-0.005948,-0.004954,CO
-0.013098,0.007158,CO
-0.020308,0.006728,CO
-0.032858,0.000279,CO
-0.022887,0.003954,CO
-0.029934,0.006061,CO
-0.015099,-0.000556,CO
0.012029,-0.012742,HI
0.007329,-0.025128,HI
0.000587,-0.000698,HI
-0.001136,0.005737,HI
0.024148,0.000467,HI
0.00841,-0.018324,HI
0.009188,-0.018314,HI
0.003709,-0.029535,HI
-0.004318,-0.018422,HI
-0.001464,0.004415,HI
-0.004781,-0.001137,TR
-0.004396,0.007747,TR
0.001395,-0.024148,TR
-0.01435,-0.012805,TR
-0.01248,-0.011339,TR
-0.014183,-0.005017,TR
0.012792,-0.005523,TR
-0.00117,0.000062,TR
-0.013282,-0.003904,TR
-0.02511,-0.004155,TR
-0.00722,-0.006101,TR
-0.010169,-0.002823,TR
-0.053601,0.015879,CO
-0.009286,-0.001496,TC
-0.033573,-0.006674,TR
-0.029481,0.010435,CO
-0.023588,0.020292,CO
0.000882,-0.002519,TR
-0.030239,0.010467,CO
-0.055138,0.005382,CO
-0.04001,0.011619,CO
-0.021745,0.002242,TC
-0.025166,-0.00492,CO
-0.033161,-0.002065,CO
-0.033439,-0.000291,CO
-0.050855,0.004202,CO
-0.039912,-0.000408,CO
-0.059337,0.020118,CO
-0.047567,0.009979,CO
-0.030132,0.015802,CO
-0.043103,0.004623,TR
-0.052072,0.003331,TR
-0.044136,0.005463,TR
-0.036065,-0.000636,TC
-0.0213,-0.002296,CO
-0.013934,-0.009994,CO
-0.037747,0.011572,CO
-0.032299,-0.009384,TR
-0.045863,0.002758,CO
-0.039068,0.009659,CO
-0.028464,-0.002369,IN
-0.003301,-0.00247,TR
-0.013734,-0.030267,TR
0.085678,0.014034,EN
0.024303,-0.004272,TR
-0.015947,-0.006198,CO
0.011422,-0.012896,HI
-0.001025,-0.007632,TR
-0.021496,-0.002261,CO
-0.037358,-0.012409,CO
0.016302,-0.033749,TC
-0.037071,-0.0154,CO
-0.043201,-0.010055,CO
-0.048396,-0.002735,CO
-0.038166,-0.003096,CO
-0.016144,-0.016115,IN
-0.012804,-0.00368,CO
0.000802,0.009099,CO
0.00263,0.001354,TR
-0.017801,-0.005937,TR
0.042375,0.018115,MA
0.103467,0.015425,MA
-0.012902,-0.010719,IN
-0.04168,-0.010129,CO
0.000353,-0.004782,TR
-0.013414,0.004449,EN
-0.026645,-0.002469,CO
-0.0259,-0.007736,IN
-0.030767,-0.016108,CO
-0.023655,-0.004391,IN
-0.019097,0.021807,TC
0.114918,0.017368,EN
-0.019102,0.015578,TR
-0.017714,0.012337,TR
-0.026234,-0.023193,CO
-0.009072,-0.006889,HI
-0.02716,-0.00115,TR
0.015829,-0.036996,TR
-0.004902,-0.009778,CO
-0.014192,0.008729,ND
-0.016887,-0.014501,IN
-0.031632,-0.008315,CO
-0.033804,-0.002115,CO
-0.015905,0.008535,CO
-0.049604,0.042473,DI
-0.012578,-0.018156,TR
-0.020775,-0.008262,CO
-0.006166,-0.02653,IN
0.025337,-0.015622,TR
0.007008,-0.027166,TR
0.032186,-0.022346,TR
0.0268,-0.028178,TR
0.018056,-0.02787,TC
-0.034012,-0.02331,CO
-0.014477,0.008861,CO
-0.037123,0.01451,CO
-0.032256,0.016191,CO
0.057323,0.014489,EN
0.028926,-0.01902,EN
-0.024251,0.005057,CO
0.100265,0.004273,MA
0.091921,0.01955,MA
0.058362,0.006858,EN
0.084107,0.004325,MA
-0.01842,-0.022314,TR
-0.04093,-0.000036,TC
0.00488,0.009652,TC
-0.010947,-0.017329,TC
-0.03907,0.008939,CO
-0.01663,0.001626,CO
-0.023838,-0.010197,CO
0.009182,-0.01059,TR
0.020283,-0.013032,TR
0.01925,-0.016608,TR
-0.018056,0.004075,CO
-0.036195,-0.001968,CO
-0.02635,0.007094,CO
0.052792,-0.005232,MA
-0.039374,0.007107,CO
0.010159,-0.012338,TR
-0.029058,0.003979,CO
0.020224,-0.020142,TR
-0.012321,0.00533,CO
-0.046904,0.015929,CO
0.086743,-0.006768,EN
0.035645,-0.027575,EN
-0.011867,-0.00715,TR
0.060778,-0.015486,EN
0.092296,0.003687,EN
-0.018547,-0.011695,TC
-0.04163,-0.007118,CO
-0.043071,0.016301,CO
-0.019585,-0.017832,TC
-0.035818,-0.015037,TC
-0.039517,0.000588,CO
0.019553,-0.025279,TR
-0.031399,0.002905,CO
-0.02215,-0.008689,TR
-0.019126,0.009257,TR
0.019933,-0.03195,TR
0.023841,-0.037138,TR
-0.00856,-0.024783,TC
0.000437,-0.026445,CO
0.082683,-0.014813,MA
-0.006172,-0.007377,TR
-0.004144,-0.010233,CO
0.101612,0.025879,MA
-0.01125,-0.006769,TR
0.085281,0.013753,MA
-0.00617,0.010731,CO
-0.027821,-0.009334,CO
-0.026147,0.008343,CO
-0.008514,0.008472,CO
0.007038,-0.016436,CO
0.083459,0.029324,EN
-0.035184,0.018401,CO
-0.030554,0.014524,CO
-0.007374,-0.002025,CO
0.097873,0.018597,EN
-0.01062,-0.010015,CO
-0.032925,-0.003021,CO
-0.022681,-0.001399,CO
-0.034289,-0.003774,CO
-0.030247,0.017221,CO
0.076067,-0.010835,EN
0.011846,0.00385,HI
-0.022059,0.00175,CO
0.005095,-0.001352,HI
-0.027398,0.022166,CO
-0.024522,0.014471,CO
-0.012665,-0.002541,HI
-0.016322,0.00486,CO
-0.027168,-0.010995,TR
-0.005963,0.002112,CO
0.023648,-0.022933,HI
-0.029589,-0.002871,CO
-0.028446,-0.018678,EN
0.021955,-0.003292,EN
0.026692,0.001809,EN
-0.006687,-0.010784,EN
-0.024407,-0.021189,CO
-0.020328,-0.002198,CO
0.035579,0.009104,DI
0.008747,0.007723,CO
0.008402,-0.002753,CO
-0.028489,0.01135,CO
-0.017824,-0.001308,TC
-0.028331,-0.001777,CO
-0.047168,0.01407,CO
-0.037422,0.006679,CO
-0.0298,0.003384,CO
-0.053095,0.004912,CO
-0.02241,0.005041,CO
-0.053512,0.014821,CO
0.000607,-0.010504,HI
-0.037472,0.002043,CO
-0.028075,0.00134,TC
-0.026165,0.003331,TC
-0.032791,0.004024,TC
-0.025488,-0.001073,TC
-0.032528,0.004956,CO
-0.034826,0.013963,CO
-0.037369,0.013868,CO
-0.009613,-0.012232,TC
-0.008339,-0.00941,TR
-0.019021,-0.010628,CO
-0.022108,-0.004043,TR
-0.030712,-0.005342,CO
-0.022046,-0.007694,TC
-0.035763,0.009708,CO
-0.031247,0.004763,CO
-0.030838,0.007178,TC
-0.022093,0.00259,TC
-0.032734,-0.003648,TC
-0.023416,-0.00546,TC
-0.045093,0.020155,CO
-0.015627,-0.00893,TR
-0.018346,0.010244,CO
-0.036594,0.008185,TC
-0.015659,-0.02428,ND
-0.043521,-0.000409,CO
0.038808,-0.018127,MA
0.00221,-0.008331,TR
-0.019304,-0.006037,TC
-0.012848,-0.001891,TR
-0.041477,0.0159,CO
0.01849,-0.011468,DI
-0.023262,-0.019809,TR
-0.045096,-0.002782,CO
-0.030904,0.008863,CO
-0.045615,0.006291,CO
-0.000786,0.01575,CO
-0.0299,0.011232,CO
-0.043447,-0.007477,TC
-0.034024,0.011601,CO
0.001672,0.005249,CO
-0.033362,0.006399,CO
-0.032491,0.006729,CO
-0.038729,-0.00138,CO
-0.017536,0.010003,TC
-0.024821,-0.006816,TC
-0.019003,0.00348,CO
-0.048424,0.01499,CO
-0.033861,0.00333,CO
0.010511,-0.006841,DI
0.002183,-0.03049,TC
-0.03262,-0.005906,TC
-0.025241,0.009864,CO
0.003143,-0.012045,TR
-0.020303,0.027116,CO
0.033459,0.007253,TC
-0.042219,0.018933,CO
-0.017287,-0.01272,TC
-0.046111,0.007305,CO
-0.027299,0.001885,CO
-0.023933,-0.006135,CO
-0.057968,0.012555,CO
-0.00843,0.008169,CO
-0.02481,-0.002745,CO
0.023928,0.001862,TR
-0.021752,0.022214,CO
0.030575,-0.010308,HI
-0.020856,0.018421,CO
0.009549,-0.001229,TR
-0.016201,0.016527,CO
-0.011521,-0.000457,TC
-0.001207,-0.000184,TR
-0.001613,-0.000704,TR
0.054382,-0.005959,TR
-0.006173,-0.004969,DI
0.023929,-0.016559,TR
0.035537,-0.016191,TR
0.030696,-0.012353,TR
0.009972,-0.008367,TR
0.005047,-0.006544,TR
0.013528,-0.017941,TR
0.042046,-0.01669,TC
0.089344,0.007496,MA
0.059025,-0.002241,TR
-0.048217,-0.005319,TR
0.002748,-0.004074,TC
-0.005335,0.004912,TC
-0.000661,-0.006397,TR
0.004585,-0.018084,TR
-0.035513,0.026428,CO
0.011698,-0.009214,TR
-0.050606,0.007216,TC
-0.023509,-0.0042,TR
-0.041952,-0.004521,TR
-0.045099,0.007996,CO
-0.048344,0.008339,MA
0.035408,0.00598,CO
-0.028474,-0.013748,TR
-0.054989,0.006853,TC
-0.042335,0.004474,TC
-0.047497,0.004287,CO
-0.041,0.024755,CO
-0.002872,-0.034058,TR
-0.037453,0.016141,CO
-0.04012,0.016564,CO
-0.015342,-0.009699,TC
-0.022057,-0.010931,TR
0.027915,0.014741,CO
-0.039393,0.010512,CO
-0.037575,-0.014414,TR
0.00788,-0.017659,TR
0.005678,-0.008118,TR
-0.030071,0.001272,CO
-0.02123,-0.005417,TC
-0.013863,-0.006768,TR
0.001213,-0.01608,TR
0.011088,-0.01444,TR
-0.053358,-0.002294,CO
-0.022101,-0.012871,CO
-0.03732,0.008509,CO
-0.021697,0.012352,CO
-0.0417,0.012893,CO
-0.049611,0.023472,ND
-0.016665,-0.011068,CO
-0.045449,0.007229,ND
-0.044533,0.014176,CO
-0.014448,-0.006034,CO
-0.01543,0.015905,CO
-0.021506,-0.018856,TC
-0.017318,0.006741,TR
-0.010981,-0.004133,TR
-0.019724,-0.015763,MA
-0.037161,0.019751,CO
-0.025196,-0.00363,TR
0.003973,-0.008542,TR
-0.014222,-0.004554,TR
0.005432,-0.019916,TR
-0.007158,0.007103,TR
-0.022769,-0.003767,TR
-0.038999,0.011921,TR
-0.036055,0.023805,CO
-0.017192,-0.011373,TR
-0.005739,0.000822,TR
-0.029613,0.010464,CO
0.002673,-0.013974,TR
-0.03065,-0.000402,TC
0.012166,-0.007662,TR
-0.014667,0.016052,CO
0.025709,-0.018943,TR
-0.011779,0.028646,CO
-0.007707,0.017904,CO
-0.051476,0.008016,CO
-0.003641,-0.008002,TR
-0.007949,0.016291,CO
0.049668,-0.011271,TR
-0.027028,0.009711,TR
-0.031066,0.01448,CO
-0.023451,-0.003972,TR
-0.018983,-0.010979,TR
-0.01137,0.002884,TC
-0.009336,-0.008284,TC
-0.006464,0.004627,TR
-0.041995,0.021274,CO
-0.028896,-0.011057,TR
-0.028042,0.000414,TC
-0.055413,0.007123,CO
-0.03464,0.006167,CO
-0.038969,0.01501,CO
0.008128,-0.009128,TR
-0.045021,0.010604,TC
-0.04777,0.01971,CO
-0.017427,0.008535,CO
0.012083,-0.033646,TR
-0.018954,-0.002635,TC
-0.018716,-0.007519,TR
-0.043721,0.014297,CO
-0.029935,0.018117,CO
-0.034638,-0.000988,CO
0.060949,-0.019048,MA
-0.023786,-0.007406,CO
-0.002491,-0.000143,CO
0.00471,-0.001498,CO
-0.007622,0.012445,CO
-0.00614,0.001939,CO
-0.017677,-0.001505,CO
-0.001912,-0.002327,TR
-0.040756,0.011828,CO
-0.040425,0.011057,CO
-0.032245,0.018349,CO
-0.013551,-0.00727,TC
-0.016818,0.005618,CO
-0.025998,0.010992,CO
-0.018801,0.016115,CO
-0.015435,0.01148,CO
0.000931,-0.00496,TR
-0.014297,0.009102,CO
-0.018363,0.013944,CO
-0.004038,-0.01389,TR
-0.038358,0.015448,CO
-0.036717,0.007772,CO
-0.035231,0.008611,CO
0.016861,-0.009524,TR
0.015046,-0.001698,HI
0.01325,-0.013921,TC
-0.006646,-0.005097,TR
0.009531,0.004828,TR
-0.030778,-0.002702,CO
0.015761,-0.012876,DI
0.033447,-0.006535,TR
0.09801,0.043885,EN
-0.040346,0.012591,CO
-0.019257,0.03272,CO
-0.03587,-0.002965,TC
0.029141,-0.019427,TC
-0.036054,0.008149,CO
-0.025701,-0.004767,TC
-0.001847,-0.008912,TC
-0.003372,-0.002496,TC
0.063993,-0.013402,MA
-0.044416,0.003586,CO
-0.024481,-0.000251,TC
0.091403,0.000016,CO
-0.037485,0.014269,MA
-0.007497,-0.005443,TR
-0.012455,0.012164,DI
0.00972,0.001701,MA
-0.019761,-0.014268,TC
-0.001653,-0.001639,TC
0.028795,-0.013747,TR
-0.004589,0.014123,CO
0.009358,-0.013472,TR
0.02198,0.0066,DI
-0.026821,0.02555,CO
-0.021357,0.030361,CO
-0.052542,-0.00411,TR
-0.025684,0.016607,CO
-0.034019,-0.007409,TC
-0.026698,-0.00977,TR
0.017832,-0.001412,HI
0.005739,-0.028766,TC
0.074669,0.000677,EN
-0.017455,-0.002329,TC
0.010357,-0.005384,TR
-0.001628,-0.020248,TR
-0.025719,0.006425,CO
-0.009063,-0.00763,TR
-0.049653,0.022882,DI
-0.026901,-0.005034,CO
-0.029934,-0.009049,CO
0.000919,0.009111,CO
-0.007629,-0.030093,MA
-0.00965,-0.00086,CO
-0.03156,0.002615,CO
-0.027975,0.006247,CO
-0.026474,0.004471,TR
-0.017224,-0.004539,TC
-0.054739,0.001802,TC
-0.048761,0.015119,CO
-0.055777,0.006313,CO
-0.039822,0.00916,CO
0.034559,-0.001455,TC
-0.036022,0.00828,CO
0.029875,-0.011892,MA
-0.008314,0.016758,CO
-0.014032,-0.012041,TC
-0.053116,0.013355,CO
0.009686,0.018245,ND
0.130831,0.033918,EN
0.157748,0.055958,EN
0.108583,0.035462,EN
0.071618,0.00657,EN
0.103278,0.040814,EN
0.09998,0.032712,EN
0.032516,-0.003195,EN
-0.006109,0.009912,ND
0.098517,0.029812,EN
0.107063,0.032189,EN
0.01515,-0.016154,TR
-0.034939,0.016794,CO
-0.011728,-0.010809,IN
-0.03835,-0.001347,TC
-0.013617,0.010446,CO
-0.012105,-0.012111,TR
-0.002759,-0.01779,TC
-0.005177,-0.02411,TC
-0.002092,0.008664,CO
-0.005987,0.008032,CO
0.001935,-0.016683,TC
0.001397,-0.019712,TC
-0.021273,-0.013734,TC
-0.014435,-0.021743,TC
-0.031603,-0.004197,TC
-0.042458,-0.01423,TC
-0.045726,-0.011217,TC
-0.045769,-0.004647,CO
-0.00336,-0.017537,TR
-0.008958,-0.008988,IN
-0.00809,-0.014583,TR
-0.024343,-0.024759,DI
-0.034866,0.022026,CO
-0.036889,0.015296,CO
-0.05491,0.01591,CO
-0.022436,0.010643,CO
0.004628,-0.00309,CO
-0.017405,-0.008003,TR
0.009337,-0.024733,TR
-0.013597,0.010564,CO
-0.02151,0.006282,CO
-0.034362,0.015107,CO
-0.004591,-0.014055,TR
-0.016608,-0.02349,TR
-0.001307,-0.020232,TR
0.023492,-0.00359,TR
0.014681,-0.002295,TR
0.001535,-0.010349,TR
-0.014478,0.003252,TR
0.001836,-0.010095,TR
0.009626,-0.008521,TR
0.000592,-0.016161,TR
-0.016634,-0.010435,TR
-0.017029,0.018537,CO
-0.023541,0.007718,CO
-0.017851,0.002929,TC
-0.024522,0.008087,CO
-0.032537,0.00277,TC
-0.029641,0.000518,CO
0.005765,0.009095,TC
0.029091,0.003237,TR
-0.016642,-0.006032,TC
0.031699,-0.002557,ND
-0.035072,0.020261,CO
-0.036422,0.014018,TR
-0.034767,0.008571,CO
-0.020655,0.007876,CO
-0.003112,0.020053,CO
-0.028467,0.011632,CO
-0.024108,0.007711,CO
-0.024715,0.010253,TR
0.032607,-0.036291,TR
-0.033614,0.021857,CO
-0.044761,0.005908,CO
-0.032049,-0.002572,CO
-0.047678,-0.01873,TR
0.038933,-0.004001,EN
-0.027186,0.001081,TR
-0.035245,0.020508,CO
-0.033688,0.001775,TC
-0.024066,0.015344,CO
-0.012067,-0.015707,TR
-0.017962,-0.005433,CO
0.082791,0.012776,DI
-0.02995,0.011135,CO
-0.039836,0.010962,CO
-0.037286,-0.005149,TR
-0.021758,-0.00188,TC
-0.041429,0.004196,TC
0.030448,0.023389,IN
-0.017565,0.002624,TR
-0.005634,0.000928,DI
-0.025888,0.004774,CO
-0.054165,0.015958,CO
-0.025017,0.003783,ND
-0.013885,-0.006558,ND
-0.006658,-0.002174,CO
0.042978,-0.003186,ND
-0.000145,-0.009185,ND
0.007632,0.005936,ND
-0.00614,0.001889,ND
0.008793,0.008286,ND
-0.009651,0.002665,ND
-0.019568,-0.001469,TR
-0.010781,0.003195,ND
-0.016511,0.004741,CO
-0.02876,0.001792,TC
0.020726,-0.006395,ND
0.004694,-0.010868,ND
-0.012481,-0.0024,ND
0.021992,0.005429,CO
0.024556,-0.009083,ND
0.024774,-0.009406,ND
0.008616,0.009829,CO
0.065614,0.004815,ND
-0.029047,0.01731,CO
-0.02033,0.023484,CO
0.017222,-0.01611,TR
-0.027015,0.006321,CO
-0.030922,-0.009055,TR
-0.012879,-0.005389,TC
-0.032652,0.011467,CO
-0.020833,-0.004236,TR
-0.039443,-0.000766,TC
-0.046679,-0.007422,TR
-0.015897,-0.007247,TR
-0.021431,0.01395,CO
-0.038426,-0.01197,TR
0.002725,-0.016612,TR
-0.021348,-0.016478,TR
-0.030803,0.020252,CO
-0.039448,0.001207,TC
-0.028742,0.016657,CO
0.0103,-0.041713,TR
-0.031822,-0.009826,TR
-0.046645,0.016119,CO
0.018104,-0.017097,TR
-0.026595,0.010106,CO
-0.03553,0.005094,CO
-0.011885,-0.01977,TR
0.008757,-0.014746,TR
-0.037336,0.011678,CO
-0.038311,0.004253,CO
-0.004966,0.004019,CO
0.002398,0.012151,CO
0.001504,0.013802,CO
-0.033752,-0.012774,TR
-0.026836,-0.015743,TR
-0.052336,0.00825,CO
-0.032974,0.016356,CO
-0.050308,0.009144,TR
-0.053071,0.023625,CO
-0.002733,-0.018478,TR
-0.01546,0.010663,CO
-0.034564,0.006859,CO
-0.010697,-0.011898,TR
-0.010019,-0.017722,TR
-0.036743,0.010477,CO
-0.035217,0.016861,CO
-0.045666,-0.009553,TR
-0.032284,0.015429,CO
-0.009854,-0.010609,CO
0.003405,-0.007883,CO
-0.026185,0.011295,TC
-0.016666,-0.015922,TC
-0.038981,-0.017615,TC
-0.015989,-0.00728,TR
-0.042669,0.019423,CO
0.027787,0.017937,CO
-0.012662,-0.002088,TC
-0.033815,0.002325,TC
-0.022499,0.0136,CO
-0.001838,0.010317,DI
0.0128,0.009608,DI
0.040721,-0.0062,DI
-0.038125,0.012997,CO
-0.050657,0.020596,CO
0.000267,-0.004368,MA
-0.034276,0.024461,CO
-0.039045,0.018328,CO
-0.044021,0.018211,CO
0.005303,0.001639,TR
-0.015904,0.0007,TC
-0.031397,0.020254,CO
-0.035451,0.014787,CO
-0.041216,0.000947,CO
-0.018823,0.020134,CO
-0.01624,0.003246,DI
-0.016517,-0.009841,TR
0.029429,-0.015727,TC
0.000028,-0.009306,TR
-0.033627,0.011906,CO
-0.018168,0.011531,CO
0.044252,-0.002847,TR
0.103757,0.007961,TR
0.018571,-0.007887,TC
0.042034,-0.015111,TR
